ID	AGE	SEX	OTW	SUM	NEU	UGD	EKST
1107	21	F	4	6	3	4	10
1153	22	F	5	3	8	3	8
1233	21	F	6	8	2	10	7
1400	22	M	4	6	6	6	5
1402	27	F	9	7	7	4	7
1507	22	F	3	2	4	9	8
1516	24	F	1	10	4	6	4
1809	22	M	6	1	6	7	8
2006	21	M	1	1	2	1	2
2070	25	M	5	8	6	5	6
2104	20	F	3	4	6	2	6
2110	21	M	9	9	4	4	7
2121	21	M	5	8	3	9	10
2428	23	M	8	5	9	3	7
2669	23	F	8	6	3	4	6
2688	21	M	7	5	2	10	5
2881	22	M	3	4	10	6	2
2900	21	M	3	7	5	9	3
3054	25	M	6	5	8	8	5
3172	24	F	5	9	4	10	6
3264	25	M	6	6	10	6	8
3327	23	M	1	1	3	1	1
3333	21	M	6	7	7	5	3
3377	21	M	7	8	4	5	5
3567	21	M	4	1	5	5	6
3640	22	M	7	3	7	2	4
3723	22	M	5	1	5	3	3
3802	21	M	5	3	10	5	6
3872	21	M	7	10	3	5	5
4087	22	F	3	6	2	8	4
4105	22	M	4	3	5	4	6
4124	21	M	1	4	7	4	1
4231	22	M	3	1	3	9	5
4484	22	M	2	7	5	8	7
4542	21	M	1	6	6	7	3
4624	21	F	3	7	2	3	5
4830	24	M	5	4	7	4	5
5099	25	F	5	3	3	6	2
5104	20	M	7	3	6	8	9
5215	19	F	6	6	3	10	9
5330	21	F	2	2	5	5	4
5513	20	F	5	5	4	8	4
5648	21	M	7	6	8	4	4
5900	22	M	7	8	3	5	7
5924	23	F	6	6	7	4	5
5948	22	M	5	6	10	7	4
6111	21	M	3	7	7	4	7
6412	21	M	1	7	1	10	7
6546	24	M	8	6	1	10	5
6603	23	M	6	6	1	6	8
6635	22	M	10	10	8	5	5
6678	22	M	6	6	10	5	1
6684	22	M	4	1	8	5	3
6801	19	F	8	8	8	4	3
6855	22	M	3	5	10	4	3
7020	21	M	6	10	2	8	5
7078	19	M	4	6	8	10	6
7250	24	M	8	3	8	6	5
7311	33	F	8	6	1	5	7
7474	21	M	3	6	10	8	1
7630	22	M	4	7	5	7	6
7686	21	M	5	6	4	6	5
7820	21	M	5	6	3	7	5
7957	22	M	4	6	6	6	8
8002	21	F	6	4	3	1	4
8040	21	F	5	4	8	2	3
8057	22	M	4	4	10	3	8
8101	22	M	6	7	10	8	4
8341	21	M	5	8	2	3	1
8500	21	F	7	10	1	4	8
8624	22	F	6	7	4	2	6
8722	22	M	7	6	5	9	3
9076	20	F	9	5	7	8	10
9296	23	F	3	6	3	8	8
9495	22	M	3	1	10	7	1
9526	22	M	6	5	4	9	9
9639	22	M	7	4	8	8	4
9695	20	M	7	7	10	10	3
9702	22	M	6	8	2	8	6
